6,2000-06-20,1,92.52
9,2000-06-25,1,87.18
10,2000-11-26,1,91.44
26,2000-06-03,1,94.19
30,2000-09-02,1,93.13
47,2000-12-01,1,89.56
48,2000-09-18,1,89.98
51,2000-07-11,1,87.09
66,2000-12-28,1,97.16
77,2000-10-20,1,89.09
89,2000-01-03,1,90.41
92,2000-08-26,1,89.89
93,2000-07-15,1,98.81
96,2000-04-02,1,93.7
98,2000-04-10,1,94.95
106,2000-10-14,1,92.13
123,2000-07-03,1,90.18
125,2000-05-09,1,97.01
128,2000-03-10,1,87.98
130,2000-02-09,1,98.11
131,2000-07-30,1,95.26
135,2000-05-02,1,98.29
141,2000-09-24,1,97.53
145,2000-11-05,1,86.06
149,2000-11-07,1,88.5
152,2000-11-22,1,94.71
160,2000-11-05,1,87.3
163,2000-03-05,1,91.57
178,2000-09-14,1,94.22
190,2000-08-06,1,87.16
195,2000-02-25,1,87.72
198,2000-04-19,1,88.42
199,2000-07-08,1,93.76
200,2000-02-18,1,85.55
203,2000-09-03,1,96.05
204,2000-10-10,1,99.91
219,2000-03-22,1,89.09
224,2000-03-18,1,89.52
226,2000-02-09,1,96.25
229,2000-05-13,1,96.39
240,2000-12-27,1,96.17
255,2000-01-14,1,99.97
287,2000-11-20,1,93.3
289,2000-11-17,1,88.6
298,2000-05-15,1,90.82
300,2000-10-27,1,85.05
303,2000-06-22,1,88.37
306,2000-05-30,1,93.54
316,2000-12-08,1,89.7
321,2000-05-21,1,89.69
322,2000-04-26,1,89.88
324,2000-05-26,1,98.75
326,2000-06-02,1,91.79
327,2000-04-30,1,90.1
328,2000-07-05,1,85.75
331,2000-11-03,1,91.33
365,2000-12-07,1,88.78
375,2000-10-20,1,91.56
377,2000-10-31,1,97.91
386,2000-10-22,1,96.47
396,2000-05-23,1,87.09
415,2000-03-27,1,96.51
421,2000-04-15,1,98.05
425,2000-11-21,1,95.1
432,2000-11-02,1,98.5
445,2000-04-13,1,96.86
453,2000-08-24,1,89.9
455,2000-08-15,1,95.53
457,2000-07-25,1,85.67
461,2000-04-25,1,94.29
464,2000-05-30,1,86.12
467,2000-08-25,1,88.71
476,2000-06-26,1,88.23
480,2000-10-17,1,87.79
488,2000-09-03,1,91.06
489,2000-07-11,1,89.88
490,2000-11-30,1,88.14
498,2000-07-20,1,94.49
500,2000-04-13,1,93.15
502,2000-09-25,1,98.52
510,2000-04-12,1,94.41
513,2000-08-22,1,88.17
527,2000-07-10,1,94.48
528,2000-02-26,1,93.68
531,2000-07-04,1,96.57
539,2000-05-06,1,88.93
556,2000-04-12,1,92.84
558,2000-09-17,1,89.76
563,2000-02-19,1,99.94
564,2000-08-03,1,95.46
572,2000-11-08,1,93.97
576,2000-08-15,1,86.88
578,2000-06-07,1,85.4
582,2000-02-20,1,90.58
586,2000-06-10,1,87.82
588,2000-03-11,1,93.18
598,2000-02-12,1,85.28
599,2000-11-28,1,99.98
602,2000-01-11,1,86.59
614,2000-12-05,1,89.32
626,2000-11-02,1,91.04
650,2000-10-24,1,94.65
657,2000-10-11,1,95.51
667,2000-09-20,1,90.04
668,2000-05-01,1,96.31
681,2000-01-16,1,91.77
687,2000-10-15,1,89.32
701,2000-11-23,1,94.84
708,2000-03-25,1,89.5
715,2000-03-11,1,94.99
716,2000-03-01,1,98.36
719,2000-09-01,1,95.07
720,2000-09-28,1,86.06
727,2000-11-04,1,89.26
728,2000-12-03,1,94.58
729,2000-12-14,1,93.67
731,2000-12-18,1,96.92
732,2000-12-13,1,85.71
734,2000-07-11,1,95.76
739,2000-10-07,1,97.49
740,2000-07-28,1,93.81
746,2000-06-04,1,87.83
747,2000-02-12,1,95.35
776,2000-08-26,1,88.85
794,2000-03-25,1,98.78
806,2000-03-02,1,93.17
807,2000-02-27,1,98.66
809,2000-05-30,1,97.56
812,2000-12-30,1,86.82
818,2000-10-24,1,94.8
825,2000-09-27,1,94.4
830,2000-03-03,1,86.85
842,2000-04-08,1,94.26
847,2000-07-03,1,85.31
852,2000-10-25,1,97.79
854,2000-12-07,1,93.02
856,2000-08-17,1,85.13
859,2000-05-21,1,96.98
861,2000-06-30,1,95.32
865,2000-02-05,1,86.26
867,2000-06-29,1,93.52
869,2000-04-14,1,90.49
881,2000-02-09,1,86.03
883,2000-07-22,1,89.5
895,2000-07-31,1,97.09
903,2000-10-21,1,99.07
912,2000-01-23,1,87.7
921,2000-12-25,1,88.09
929,2000-10-01,1,92.14
930,2000-05-07,1,98.42
932,2000-06-02,1,88.02
936,2000-03-14,1,91.47
948,2000-05-04,1,90.72
959,2000-02-22,1,87.72
973,2000-05-22,1,92.46
987,2000-06-06,1,87.04
990,2000-07-15,1,88.39
995,2000-01-10,1,98.2
997,2000-07-01,1,90.48
1001,2000-08-26,1,99.62
1011,2000-03-19,1,89.53
1020,2000-01-14,1,92.39
1024,2000-10-21,1,96.54
1027,2000-01-21,1,92.6
1031,2000-10-15,1,92.76
1050,2000-11-04,1,86.42
1067,2000-08-29,1,96.91
1078,2000-06-18,1,97.24
1086,2000-08-30,1,93.47
1091,2000-12-01,1,92.02
1094,2000-04-19,1,90.63
1104,2000-09-03,1,89.31
